case,tau_s,max_voc_step_V,curvature_bias_budget,curvature_weight_l1_per_V,settling_voltage_limit_V,analytic_min_dwell_s,provenance
synthetic_tau_0p5,0.5,0.09536491085833328,0.01,143.8085097637075,0.00006953691416753467,3.6118041142003072,synthetic planning calculation
synthetic_tau_1,1.0,0.09536491085833328,0.01,143.8085097637075,0.00006953691416753467,7.2236082284006145,synthetic planning calculation
synthetic_tau_2,2.0,0.09536491085833328,0.01,143.8085097637075,0.00006953691416753467,14.447216456801229,synthetic planning calculation
synthetic_tau_5,5.0,0.09536491085833328,0.01,143.8085097637075,0.00006953691416753467,36.11804114200307,synthetic planning calculation
synthetic_tau_10,10.0,0.09536491085833328,0.01,143.8085097637075,0.00006953691416753467,72.23608228400614,synthetic planning calculation
