n_sessions,sweeps_per_session,within_to_between_sd_ratio,mc_reps,seed,median_estimated_sd_over_true,p025_estimated_sd_over_true,p975_estimated_sd_over_true,p90_abs_relative_sd_error,p95_abs_relative_sd_error,zero_variance_boundary_rate,mean_estimated_variance_over_true_variance
12,4,0.25,20000,20260826,0.9687719475649621,0.5763526094286809,1.417927028573171,0.351391741143628,0.4206596550201221,0.0,0.9965769232485583
12,4,0.5,20000,20260826,0.9664711190542123,0.5581307647187194,1.4365446912198456,0.3712105741566465,0.4388384927580145,0.0,0.9970893208005674
12,4,0.75,20000,20260826,0.9650523839371997,0.496509620217505,1.4676701777965104,0.4106357732511934,0.4863177149156199,0.0004,1.0015076411664317
12,4,1.0,20000,20260826,0.9634435106934253,0.4240935551992991,1.505408199201937,0.45503080909757165,0.5475044054723863,0.0033,1.0017611398228359
12,4,1.5,20000,20260826,0.956066630855088,0.0,1.5983047319826555,0.6127226603598097,0.8088521321401145,0.0373,1.0072640069875702
16,4,0.25,20000,20260826,0.9769727514421493,0.6387882923431698,1.3547636441073978,0.3057483545703248,0.35864370324895595,0.0,1.0005117294687091
16,4,0.5,20000,20260826,0.9765761803602127,0.6168355565670316,1.3664535397227455,0.31769730946025454,0.3770513396858028,0.0,0.9994873611909901
16,4,0.75,20000,20260826,0.9748981243273979,0.5745086093259504,1.3933068612206847,0.3475817379072276,0.4118686346110159,5e-05,0.9969820889516201
16,4,1.0,20000,20260826,0.9720946025813186,0.5076305256309566,1.4237802222649614,0.38333339092151064,0.46042861913096456,0.00055,0.9977514468805811
16,4,1.5,20000,20260826,0.9677831393818664,0.23882120816802288,1.526695232919549,0.5128618316509278,0.6321462970908868,0.01725,1.0038884159961947
20,4,0.25,20000,20260826,0.9829319925172734,0.6783975467249875,1.3192537204803756,0.2699012479065813,0.3205945176836908,0.0,1.001761611291683
20,4,0.5,20000,20260826,0.9796677377327674,0.6582026560419513,1.325559589952453,0.2839747456583469,0.33575586230858506,0.0,0.9968796998104219
20,4,0.75,20000,20260826,0.9789517980313798,0.6250248067820947,1.3444463419835473,0.30368974109067365,0.36030397599680264,0.0,0.9968840755114943
20,4,1.0,20000,20260826,0.9748565955094793,0.5828693316050524,1.3844060576187767,0.33832836747178163,0.403579002064037,0.00015,0.9983994405167101
20,4,1.5,20000,20260826,0.9704402576127444,0.36749925952663626,1.4603490067532865,0.4438436328658445,0.5476276242566571,0.0092,0.9951040690878186
24,4,0.25,20000,20260826,0.9878335446915646,0.7086360151475274,1.291508991822924,0.24474088306722336,0.29144252007786114,0.0,1.002274727221846
24,4,0.5,20000,20260826,0.9826773716251229,0.6925958711846882,1.3037696836683543,0.25775009281880523,0.3055123365099514,0.0,0.9990582158687213
24,4,0.75,20000,20260826,0.9833658498802307,0.6593220083515591,1.3189479855650128,0.27917653657213815,0.3298584282676827,0.0,0.9971393419073727
24,4,1.0,20000,20260826,0.982592462969571,0.6163751003480162,1.3518496009023238,0.3111472070671643,0.36785240276065795,0.0,1.001478296777062
24,4,1.5,20000,20260826,0.9819279945199443,0.4618561386370963,1.4231612085922958,0.39936940413207006,0.48510059776795356,0.0035,1.0039002572513647
30,4,0.25,20000,20260826,0.9895339755736245,0.7377183784935806,1.2605054170219443,0.21913277791272973,0.26159507466699655,0.0,1.0021192425958327
30,4,0.5,20000,20260826,0.9870925741011429,0.7271600938463597,1.2692901105910046,0.22794039658268067,0.271239260273484,0.0,1.000395098939983
30,4,0.75,20000,20260826,0.986524568586205,0.705903617224963,1.2899810443396105,0.2462887572188892,0.2924890897293475,0.0,1.0001662329648737
30,4,1.0,20000,20260826,0.982408318190322,0.6614978427592567,1.3122377898484097,0.27456830489748096,0.3257773079850367,0.0,0.9961403064758386
30,4,1.5,20000,20260826,0.9820581505627215,0.5373024835172155,1.3814879974761645,0.3514985067170951,0.42549541024875476,0.00115,0.9993878179008919
