seed,scenario,temperature_K,true_sigma_meV,mean_estimated_sigma_meV,bias_meV,rmse_meV,fit_failure_fraction
20260826,nominal,150.0,65.60110789917758,65.62674392397241,0.025636024794835066,0.17619579549861858,0.0
20260826,nominal,300.0,89.2859086289814,89.2642947742128,-0.02161385476860289,0.22900916289951184,0.0
20260827,nominal,150.0,65.60110789917758,65.62819021625971,0.027082317082133045,0.17548497932924242,0.0
20260827,nominal,300.0,89.2859086289814,89.26387302243062,-0.02203560655078718,0.2293387676202101,0.0
17,nominal,150.0,65.60110789917758,65.59986827778965,-0.0012396213879242168,0.17322995899877072,0.0
17,nominal,300.0,89.2859086289814,89.33315728675635,0.04724865777494358,0.2419344297127417,0.0
41,nominal,150.0,65.60110789917758,65.58769311696017,-0.013414782217409993,0.1655881737789366,0.0
41,nominal,300.0,89.2859086289814,89.32369823316205,0.03778960418064514,0.23906207947172461,0.0
103,nominal,150.0,65.60110789917758,65.60039529172347,-0.000712607454104841,0.1563775867703363,0.0
103,nominal,300.0,89.2859086289814,89.30511001139038,0.01920138240897984,0.23429368186796426,0.0
