x,G_intrinsic,P_reference,P_candidate,capture_gain,rho_break_even
0.500000,1.000000,0.606530659712633,0.606530659712633,1,1
0.500000,1.500000,0.606530659712633,0.664813791403784,1.09609263894222,0.666666666666667
0.500000,2.000000,0.606530659712633,0.70218850132656,1.15771311817814,0.5
0.500000,4.000000,0.606530659712633,0.778800783071405,1.28402541668774,0.25
1.000000,1.000000,0.367879441171442,0.367879441171442,1,1
1.000000,1.500000,0.367879441171442,0.441977377240674,1.20141907314331,0.666666666666667
1.000000,2.000000,0.367879441171442,0.49306869139524,1.34029966400176,0.5
1.000000,4.000000,0.367879441171442,0.606530659712633,1.64872127070013,0.25
2.000000,1.000000,0.135335283236613,0.135335283236613,1,1
2.000000,1.500000,0.135335283236613,0.195344001992545,1.44340778931254,0.666666666666667
2.000000,2.000000,0.135335283236613,0.243116734434214,1.79640318932323,0.5
2.000000,4.000000,0.135335283236613,0.367879441171442,2.71828182845905,0.25
3.000000,1.000000,0.0497870683678639,0.0497870683678639,1,1
3.000000,1.500000,0.0497870683678639,0.086337629660362,1.7341376484037,0.666666666666667
3.000000,2.000000,0.0497870683678639,0.119873250103762,2.40771859106162,0.5
3.000000,4.000000,0.0497870683678639,0.22313016014843,4.48168907033806,0.25
