lambda_eV,delta_eV,R_plus,R_minus,R_worst,abs_log_orientation_asymmetry,max_min_rate_ratio
0.050000,0.010000,1.19013622078887,0.808358606580142,0.808358606580142,0.386817270718344,1.47228743666611
0.100000,0.010000,0.990376176495657,0.990376176495657,0.990376176495657,0,1
0.150000,0.010000,0.931539672785957,1.05973893558649,0.931539672785957,0.128939090239448,1.13762082984306
0.200000,0.010000,0.903445462217604,1.09622131928658,0.903445462217604,0.193408635359172,1.21337852159419
0.250000,0.010000,0.886997288223281,1.11871086446171,0.886997288223281,0.232090362431007,1.26123369182173
0.050000,0.035000,1.5527144315396,0.400975158660469,0.400975158660469,1.3538604475142,3.87234570023421
0.100000,0.035000,0.888284868870189,0.888284868870189,0.888284868870189,0,1
0.150000,0.035000,0.737404566357295,1.15796970248038,0.737404566357295,0.451286815838068,1.57033161348679
0.200000,0.035000,0.671865903686247,1.32211630921668,0.671865903686247,0.676930223757102,1.96782766019644
0.250000,0.035000,0.635372873592656,1.43157182450175,0.635372873592656,0.812316268508523,2.25312077993991
0.050000,0.070000,1.5010398995163,0.100102285497961,0.100102285497961,2.70772089502841,14.9950612221224
0.100000,0.070000,0.62259991554099,0.62259991554099,0.62259991554099,0,1
0.150000,0.070000,0.464317085176086,1.14497871206617,0.464317085176086,0.902573631676136,2.46594137631604
0.200000,0.070000,0.400975158660469,1.5527144315396,0.400975158660469,1.3538604475142,3.87234570023421
0.250000,0.070000,0.367197021680525,1.8640952334343,0.367197021680525,1.62463253701705,5.07655324899702
