case,n_substrates,linewidth_noise_meV,true_H1_recovery,true_H2_recovery,true_H3_recovery,true_H4_recovery,nsim_per_class,seed
nominal_N5,5,2.0,0.7338,0.7178,0.7356,1.0000,5000,20260831
nominal_N7,7,2.0,0.8484,0.8146,0.8674,1.0000,5000,20260833
nominal_N9,9,2.0,0.9102,0.8726,0.9390,1.0000,5000,20260835
N7_lw1,7,1.0,0.8897,0.8117,0.8757,1.0000,3000,20260836
N7_lw1p5,7,1.5,0.8610,0.8153,0.8707,1.0000,3000,20260841
N7_lw2,7,2.0,0.8447,0.8120,0.8723,1.0000,3000,20260846
N7_lw3,7,3.0,0.8283,0.8063,0.8717,1.0000,3000,20260856
N7_lw4,7,4.0,0.8283,0.8107,0.8810,1.0000,3000,20260866
